Accession,Improved,Original,Consensus
AY154458,2,Bluetongue virus 2,2
EF059720,1, Bluetongue virus 1,1
EF059728,9, Bluetongue virus 9,9
EF059730,12, Bluetongue virus 12,12
FJ183374,8, Bluetongue virus 8,8
FJ969719,1, Bluetongue virus,1
GU390658,12, Bluetongue virus,12
JF443166,9, Bluetongue virus 9,9
JN255156,26, Bluetongue virus,26
JN255862,2, Bluetongue virus 2,2
JN255872,2, Bluetongue virus 2,2
JN255882,4, Bluetongue virus 4,4
JN255892,4, Bluetongue virus 4,4
JN255902,9, Bluetongue virus 9,9
JN255912,9, Bluetongue virus 9,9
JN255922,2, Bluetongue virus 2,2
JN255932,2, Bluetongue virus 2,2
JN255942,4, Bluetongue virus 4,4
JN255952,9, Bluetongue virus 9,9
JN255962,9, Bluetongue virus 9,9
JN546202,24, Bluetongue virus,24
JN546203,Untyped, Bluetongue virus,Untyped
JN546204,Untyped, Bluetongue virus,Untyped
JN546205,Untyped, Bluetongue virus,Untyped
JN546206,24, Bluetongue virus,24
JN546207,Untyped, Bluetongue virus,Untyped
JN546208,Untyped, Bluetongue virus,Untyped
JN546210,Untyped, Bluetongue virus,Untyped
JN546211,Untyped, Bluetongue virus,Untyped
JN671906,Untyped, Bluetongue virus,Untyped
JN881985,Untyped, Bluetongue virus 1,1
JQ086221,Untyped, Bluetongue virus 15,15
JQ086231,Untyped, Bluetongue virus 16,16
JQ086241,Untyped, Bluetongue virus 2,2
JQ086251,Untyped, Bluetongue virus 20,20
JQ086261,Untyped, Bluetongue virus 21,21
JQ086271,Untyped, Bluetongue virus 23,23
JQ086281,Untyped, Bluetongue virus 3,3
JQ086291,Untyped, Bluetongue virus 7,7
JQ086301,Untyped, Bluetongue virus 9,9
JQ240321,Untyped, Bluetongue virus 2,2
JQ681257,2, Bluetongue virus,2
JQ713557,2, Bluetongue virus 2,2
JQ740771,10, Bluetongue virus 10,10
JQ771813,3, Bluetongue virus,3
JQ771823,23, Bluetongue virus 23,23
JQ924820,16, Bluetongue virus 16,16
JX003687,9, Bluetongue virus,9
JX272369,Untyped, Bluetongue virus 24,24
JX272379,Untyped, Bluetongue virus 1,1
JX272389,Untyped, Bluetongue virus 22,22
JX272399,Untyped, Bluetongue virus 23,23
JX272429,Untyped, Bluetongue virus 19,19
JX272439,Untyped, Bluetongue virus 18,18
JX272449,Untyped, Bluetongue virus 17,17
JX272469,Untyped, Bluetongue virus 15,15
JX272479,Untyped, Bluetongue virus 14,14
JX272489,Untyped, Bluetongue virus 13,13
JX272499,Untyped, Bluetongue virus 12,12
JX272519,Untyped, Bluetongue virus 10,10
JX272529,Untyped, Bluetongue virus 9,9
JX272539,Untyped, Bluetongue virus 8,8
JX272549,Untyped, Bluetongue virus 7,7
JX272559,Untyped, Bluetongue virus 6,6
JX272569,Untyped, Bluetongue virus 5,5
JX272579,Untyped, Bluetongue virus 4,4
JX272589,Untyped, Bluetongue virus 3,3
JX272599,Untyped, Bluetongue virus 2,2
JX399148,1, Bluetongue virus,1
JX560413,4, Bluetongue virus 4,4
JX861488,1, Bluetongue virus 1,1
JX861498,1, Bluetongue virus 1,1
JX889174,24, Bluetongue virus 24,24
JX889180,24, Bluetongue virus 24,24
JX889192,24, Bluetongue virus 24,24
JX889209,24, Bluetongue virus 24,24
JX889215,24, Bluetongue virus 24,24
JX889218,24, Bluetongue virus 24,24
KC662612,12, Bluetongue virus 12,12
KC853052,16, Bluetongue virus,16
KC879615,1, Bluetongue virus 1,1
KC924402,Untyped, Bluetongue virus,Untyped
KF017477,Unknown, Bluetongue virus,Untyped
KF017478,Unknown, Bluetongue virus 4,4
KF017479,Unknown, Bluetongue virus 2,2
KF017483,2, Bluetongue virus 2,2
KF017484,2, Bluetongue virus 2,2
KF017485,2, Bluetongue virus 2,2
KF017489,2, Bluetongue virus 2,2
KF017491,2, Bluetongue virus 2,2
KF017492,2, Bluetongue virus 2,2
KF017494,4, Bluetongue virus 4,4
KF017495,4, Bluetongue virus 4,4
KF017496,4, Bluetongue virus 4,4
KF017498,4, Bluetongue virus 4,4
KF017499,4, Bluetongue virus 4,4
KF017500,4, Bluetongue virus 4,4
KF017503,4, Bluetongue virus 4,4
KF017504,8, Bluetongue virus 8,8
KF017506,8, Bluetongue virus 8,8
KF017508,8, Bluetongue virus 8,8
KF017510,12, Bluetongue virus 12,12
KF017511,12, Bluetongue virus 12,12
KF017512,12, Bluetongue virus 12,12
KF017513,15, Bluetongue virus 15,15
KF017516,16, Bluetongue virus 16,16
KF017517,16, Bluetongue virus 16,16
KF017518,16, Bluetongue virus 16,16
KF017520,24, Bluetongue virus 24,24
KF017522,Untyped, Bluetongue virus,Untyped
KF017523,Untyped, Bluetongue virus,Untyped
KF017524,Untyped, Bluetongue virus,Untyped
KF017525,Untyped, Bluetongue virus,Untyped
KF017526,Untyped, Bluetongue virus,Untyped
KF584172,2, Bluetongue virus 2,2
KF584179,2, Bluetongue virus 2,2
KF584181,2, Bluetongue virus 2,2
KF584210,16, Bluetongue virus 16,16
KF584217,Untyped, Bluetongue virus 24,24
KF584219,24, Bluetongue virus 24,24
KF584221,Untyped, Bluetongue virus,Untyped
KF664103,16, Bluetongue virus 16,16
KF664113,1, Bluetongue virus 1,1
KF664123,1, Bluetongue virus 1,1
KF664133,16, Bluetongue virus 16,16
KJ019205,1, Bluetongue virus 1,1
KJ577104,1, Bluetongue virus 1,1
KJ577114,1, Bluetongue virus 1,1
KJ577124,Untyped, Bluetongue virus 1,1
KJ736001,1, Bluetongue virus 1,1
KM053258,8, Bluetongue virus 8,8
KM053268,2, Bluetongue virus 2,2
KM099506,1, Bluetongue virus 1,1
KM099507,1, Bluetongue virus 1,1
KM099508,1, Bluetongue virus 1,1
KM099509,1, Bluetongue virus 1,1
KM099510,1, Bluetongue virus 1,1
KM099511,1, Bluetongue virus 1,1
KM099512,1, Bluetongue virus 1,1
KM099513,1, Bluetongue virus 1,1
KM099514,1, Bluetongue virus 1,1
KM099515,1, Bluetongue virus 1,1
KM099518,1, Bluetongue virus 1,1
KM099520,1, Bluetongue virus 1,1
KM099522,1, Bluetongue virus 1,1
KM233614,4, Bluetongue virus 4,4
KM580413,11, Bluetongue virus 11,11
KM580432,11, Bluetongue virus 11,11
KM580439,11, Bluetongue virus 11,11
KM580446,11, Bluetongue virus 11,11
KM580454,11, Bluetongue virus 11,11
KM580479,11, Bluetongue virus 11,11
KM580490,11, Bluetongue virus 11,11
KP196603,Untyped, Bluetongue virus,Untyped
KP268774,2, Bluetongue virus,2
KP268814,Untyped, Bluetongue virus,Untyped
KP318788,4, Bluetongue virus 4,4
KP318795,16, Bluetongue virus 16,16
KP820861,8, Bluetongue virus 8,8
KP820862,8, Bluetongue virus 8,8
KP820863,14, Bluetongue virus 14,14
KP820865,16, Bluetongue virus 16,16
KP820866,16, Bluetongue virus 16,16
KP820867,16, Bluetongue virus 16,16
KP820869,16, Bluetongue virus 16,16
KP820870,16, Bluetongue virus 16,16
KP820875,1, Bluetongue virus 1,1
KP820877,1, Bluetongue virus 1,1
KP820878,1, Bluetongue virus 1,1
KP820879,1, Bluetongue virus 1,1
KP820880,1, Bluetongue virus 1,1
KP820881,1, Bluetongue virus 1,1
KP820882,1, Bluetongue virus 1,1
KP820884,1, Bluetongue virus 1,1
KP820885,1, Bluetongue virus 1,1
KP820888,1, Bluetongue virus 1,1
KP820889,1, Bluetongue virus 1,1
KP820892,1, Bluetongue virus 1,1
KP820894,1, Bluetongue virus 1,1
KP820897,1, Bluetongue virus 1,1
KP820898,1, Bluetongue virus 1,1
KP820899,1, Bluetongue virus 1,1
KP820901,1, Bluetongue virus 1,1
KP820902,1, Bluetongue virus 1,1
KP820904,2, Bluetongue virus 2,2
KP820905,2, Bluetongue virus 2,2
KP820907,2, Bluetongue virus 2,2
KP820908,2, Bluetongue virus 2,2
KP820912,2, Bluetongue virus 2,2
KP820914,2, Bluetongue virus 2,2
KP820916,2, Bluetongue virus 2,2
KP820919,3, Bluetongue virus 3,3
KP820920,4, Bluetongue virus 4,4
KP820921,4, Bluetongue virus 4,4
KP820922,4, Bluetongue virus 4,4
KP820926,4, Bluetongue virus 4,4
KP820927,4, Bluetongue virus 4,4
KP820929,4, Bluetongue virus 4,4
KP820930,4, Bluetongue virus 4,4
KP820933,4, Bluetongue virus 4,4
KP820936,4, Bluetongue virus 4,4
KP820937,4, Bluetongue virus 4,4
KP820938,4, Bluetongue virus 4,4
KP820939,4, Bluetongue virus 4,4
KP820940,4, Bluetongue virus 4,4
KP820942,4, Bluetongue virus 4,4
KP820944,4, Bluetongue virus 4,4
KP820945,4, Bluetongue virus 4,4
KP820947,4, Bluetongue virus 4,4
KP820948,4, Bluetongue virus 4,4
KP820950,4, Bluetongue virus 4,4
KP820951,4, Bluetongue virus 4,4
KP820953,8, Bluetongue virus 8,8
KP820954,8, Bluetongue virus 8,8
KP820955,8, Bluetongue virus 8,8
KP820956,8, Bluetongue virus 8,8
KP820957,8, Bluetongue virus 8,8
KP820959,9, Bluetongue virus 9,9
KP820960,9, Bluetongue virus 9,9
KP820966,9, Bluetongue virus 9,9
KP820967,9, Bluetongue virus 9,9
KP820972,9, Bluetongue virus 9,9
KP820973,9, Bluetongue virus 9,9
KP820974,14, Bluetongue virus 14,14
KP820975,14, Bluetongue virus 14,14
KP820976,14, Bluetongue virus 14,14
KP820977,14, Bluetongue virus 14,14
KP820978,15, Bluetongue virus 15,15
KP820979,8, Bluetongue virus 8,8
KT002578,7, Bluetongue virus,7
KU234257,1, Bluetongue virus 1,1
KU569990,8, Bluetongue virus 8,8
LN713671,Untyped, Bluetongue virus,Untyped
